,0
36,천우희에서 끝났어야되 왜 갑자기 또 반전을 만들어서 에혀 좀비는 진짜 에러다ㅡㅡ  왜 곡성인줄 알거 같네 진짜 곡소리나네 아 내 시간  
37,귀신이 예수 흉내내며 육체를 입기위해 사탄에게 사람을 제물로 바치는 인신제사를 모티브로 한 사타니즘 영화 신을 희롱하고 무지한 관객들을 우롱한다 영적인 시각이 없는 사람은 이 영화의 무서움을 알지못한 채 찝찝함만 
38,관객을 악마처럼 손아귀에 가지고 논 나홍진감독에게 찬사를 바칩니다 카메라 앵글 조명 미쟝센까지 첫장면 부터 마지막까지 완벽하게 잘 짜여진 요 근래 한국 영화 최고의 작품입니다  처음에는 자극적이기도 하고 이 미스테리를 어떻게 풀까 기대하면서 f는데 그냥 어이없게 끝나네  0점 이없는게아쉽다  평점 0점이 없어서 1점줍니다처음부터 끝까지 피토하고 죽이고잔인하고 보고나면 남는거없이 찝찝한 영화입니다방금 보고왔는데 아 기분이 더럽습니다스릴러인줄 알았는데 호러물 그것도 수위가 19금 이상인데 애 이따위를 쩝 시간아깝네  의문점은 많은데 설명해주지 않고개연성은 찾아보기  힘들다보고나면 헛웃음만 나오는 영화  관객들을 멘킬 목적으로 찍은 영화라면 그건 대성공이다  
39,죽기 전에 절대 이런 류의 영화를 다시는 보지 말아야겠다고 생각했습니다 모든 정신이 피폐해지는 느낌요즘 영화볼게 없어서 예매율 높은건듯  지루함내용은 그냥저냥 ㅜ 호러 스릴러 좋아해서본건데 솔직히 실망  보지마세요 시간낭비 돈낭비 이런영화 무슨생각으로 만들었는지 한심스럽다정말  이게 어떻게 15세예요잔인한장면 없다고 15세는 말도안됨10대들이 정서적으로 이영화보면 개혼란스러울꺼같은데진짜 찝찝한 영화예요  집에 와서 곱씹어볼수록 정말 별로네요나오자마자 사람들이 시간 아깝다고 부르르 떨었습니다 어찌되었건 개인의 취향을 존중합니다만 시간낭비를 이런 식으로 하지 않기를 권합니다 아무쪼록 고생하신 배우 스탭들의 노고에 최악의영화를봤다 감독이 정신이 이상하다고생각들게하는 돈이아까운영화 후회된다  
40,이 영화 재밌다고 하는 사람들 다시 보게되네요재밌다고 하는 사람들이 무서움  에휴  돈날렸네 ㅡㅡ 200만도 못넘길듯  처음부터 중간까진 웃기고 볼만하다가 중간부터 결말까지 개노답 악지르고 악지르고 악지르다 끝난기분 영화보고 나왔는데 편두통 심해서 약먹음  
41,정말 짜증지대루남친과보다 헤어질뻔보자고한내가 죄인배우들연기력은 인정이가지만시나리오는 진짜대박그냥 보는내내 스트레스였음ㅠㅠ  아 진짜 기대 많이하고봤는데 솔직히 이게 재밌나요 나만 노잼이였나 기분 너무 안좋음  방금 보고 나왔는데  감독 진짜 관객 곡소리 나게 해서 곡성인거냐 장난 하는 것도 아니고 저 배우들 데리고 이따위로 말아 먹기도 힘들 겠다 이거 보지 마세요 정말 짜증이 짜증이 짜증이 오랜만에 내 입에서 된소리 언플은 심하더만 그시간에 시나리오나 손보지  해설집이 없으면 이해를 할 수 없는 영화해설집을 봐도 감독의 주장에 동의하기 싫은 영화해설집대로 감독의 주장대로 영화를 해석하려해도 장면의 설명 스토리의 설득력 논리성 개연성이 없는 영화  진짜 평점 어지간해선 안남기는데같은데서 하도 난리길래 봤더니 예고편에 낚이고 영화에 한번 더 낚인거같다 중간에 시체랑 싸우는신은 주변사람들 다 웃고 영화끝나고는 전부다 이게뭐냐면서 어이가없어하더라 물론 나도포 찝찝 짜증 평론가들한테 낚였다  더럽다 뭘이야기하려는지  
42,영화까는건 아닌데 솔직히 기대 이하는 확실하다2시간30분동안 스트레스 받을려면 이영화를 봐라 는 뎃글을보고 어떤 무식한놈이 이런뎃글을 남겨했는데그뎃글을 믿어야했다어떤사람에겐 재밋을지모르지만나에겐 정말 스트레스받 
43,그닥 그래요 별로에요ㅠㅠㅠ  시간버리고 돈도버리고 싶지않으면 절대절대 보지마세요 진심진짜 욕할정도로 후회함반전있고 분장같은거만 대단하면 다 대작임 진짜내가 살면서 본영화중에 이렇게 갖다붙이기만 잘한 짜집기식 삼류영화 처음보  
44,넘 어려웠다 종교와 무속신앙 귀신과 악마동양과 서양 결말은 대체 어떤건지 하지만 정말 무서웠다 보는내내 내가 굿받는것같은현기증을 느꼈다  무당과예수와좀비와악마와귀신과호러와살인과또 뭐가있뜨라  
45,중간에나오고싶을정도기분나쁜영화  전문가 평점 높아서 봤는데 그 추격자 때 포스는 안나오네요 긴장감이나 몰입도는 있는데 잔인하고 징그러운 장면이 많습니다 개인적으로 좀비씬은 그냥 없었다면 영화의 퀄리티가 더 높아지지 않았을까 싶습니다 
46,최고의 평론가가10점줘서 봤는데 평론가급전필요했습니까동생엄마애인같이봤는데 동생한테 미안했네요 이게 15세 말이 됩니까 내 휴일 내 돈 너무 아까웠네요볼건 배우들의 연기 연기는 정말 잘합니다다만 영화가   잘 모르겠다는이게 그렇게 칭찬받을 스토리인가내가 이해력이 딸리는건지하여간 뭐괜찮긴한데 아주 내인생 영화는 아니고 사실 이해가 잘 안됩니다 배우분들 연기는 좋았어요 잘 이해 못해서 미안합니다  정말재미없다 보지마라  잘 포장된 불량 식품같응 영화 볼땐 무서운데 생각하면 열받음  
47,평점 잘주는 사람들 꿈보다 해몽이 예술이네 돈시간 버리고 싶은 사람은 극장에 보러 가시길 1점도 아깝다는거에 공감  
48,나홍진 전작을 생각하고가면 오산이다 뭔가 미스터리 스릴러가 있을꺼라고 생각했지만 그냥 미스터리만 남는다결말도 미스터리다  이건 뭐지 ㅡㅡ 무ㅓ냐 ㅜㅜ  내용흐름이 뚝뚝 끊기는 느낌  주인공 때리고싶음 답답함의 극치  끝나고 뭐지하다가 나중엔 결말 이따구로 만든 감독 욕하게 됨 스릴 반전 겁나 기대하게 만들어놓고 결말 꼬라지보소  아진짜너무불쾌하고더럽네요평론가는이런거좋아함  
49,번개맞고 좀비나오고 까마귀 날아다니고 난리 잡동사니  
50,아는 척 좋아하는 해석충들이나 빨아댈 영화 아는 만큼 보이고 재밌다는데  아는 만큼 보이는건 맞는데 진심 재미가 하나도 없다  언플 농간에 놀아나지 마라 마치 벌거숭이 임금님을 보는 듯 하다 뭔 뜻인지 알거라 믿는다 애들 악몽에 시달린다이런걸15세 주냐진짜  더럽고 찝찝하고아오  
51,스트레스만 받고나왔네 ㅋㅋ 골룸녀석 ㅋㅋ  평론가들 뭐야 당신들 처럼 영화를 좋아하는  영화 팬들 기만하다니  특히나 이동진 박평식  오늘 첫 개봉으로 f는데 끝날때 멍 했음 나만 그런게 아니라 극장에 있는 모든 사람이 그러더라 스토리가 반전에 반전을 보여준 건 맞는데 뭔가 풀어줘야 하는데 의미만 잔뜩 남긴 척 하고 끝나버림 평론가 평점이 7광구 같은 영화입니다 또 당했습니다후  이 영화가 시빌워를 이을 흥행 영화라고 개뿔 보고 난 뒤 관객들 표정  뭘 전하려는지 모르겠고 결말도 뭔지 모르겠다 그냥 만 가득했던 영화 말이라도 좀 하던가 배우들이 아깝다  아직 영화끝나지도 않았는데  후기쓰고있는 알바생들 고생이많다ㅋㅋㅋ  진짜 더럽고 찝짭한 내용  
52,스릴러 아니고 공포영화 무서운거 못보는 사람들은 너무 무섭네요  
53,골룸이 왜 나오는지 전혀 모르겠고 한국판 배틀로얄 보는 기분 1점도 아깝습니다  어이가없어서 잠도안옴  
54,우와아아 모르겟다모냐이거  
55,대단해요ㅋㅋ보는 내내 넘긴장해서 땀나고ㅜㅜ엔딩이 찝찝한데 곡성2하시는건지꿈에나올까 살짝무섭고 아역 배우 연기 정말잘하던데 연기하느라 애먹었을듯 어린 나이에  씹노잼 핵노잼 ㅡㅡㅡㅡ  
56,보는내내 기분이 꾸리꾸리했던 영화 앞으로 황정민을 믿지 않으리  영화를 마감까지  몰두해봤는데  머가 먼지  잘 모르겠다  조 가튼 영화다  피비린내밖에  안난다  돈주고보기아깝다 진짜  보지마시오 어지간하면 귀찮아서 댓글 안다는데 이건 뭐 영화도 아닙니다그냥 쓰레기  개인적으로 언제 끝나나 싶었습니다  현혹되네요쩌네요이런식으로 빠는 사람들이 있는데 걍 악마숭배자 허구숭배자들이나 빠는 영화임 장치도 쓰레기 우연으로 밖에 설명이 안되는 장치투성이임 걍 천우희가 이쁜거밖에없었다  스크린 독점에다 알바 풀었더냐  
57,재미없어요ㅜ 그냥 끔찍하기만하고 내용도 조잡스러움  잔인하기만 한 좀비물 이네요 영화보고 후회 하기는 처음 입니다  진심 병맛 영화 돈주고보기아깝다  미리 알려드리는데요 곡성 보고 나시면 웬만한 영화는 이제 영화 같지도 않게 느껴질지도 모릅니다 심지어 나홍진의 전작품인 추격자 마저도 폄하하게 될 수 있습니다 그래도 괜찮다면 보세요 아무튼 이거 진짜 뻥 안 엑소시스트는 영화소개에 왜 없는지여러모로 불친절한 영화답답하고 찝찝함의 연속연기력은 출중하나 그게 전부무슨 이야기를 하고 싶은 건지 무슨 이야기가 전개되는 건지 의문피가 낭자하고 살점이 뜯기는데15세 관람가7광 그래서 뭐 어쩌라고  클레멘타인을 잇는 대작이다 이 영화는 추리좀비엑소시스트무당신파코메디 골고루 다 갖추고 있다 마른 하늘에 비오다가 벼락맞는 남자신에서는 어이없어 웃음이 나왔고 영화는 왜이렇게도 긴지 영화보다 내가 곡하는 
58,정말최악이였습니다  
59,나홍진이 미끼를 던지고  관객은 물었다 영화를 다보고 났는데 왜이렇게 찝찝하지  18 고등학생입니다 야자가 빠지는날이라 친구랑 곡성 보러오기로 했는데 뭘본건지 모르겠고 아직도 좀비악마밖에 생각이 안납니다 뭐가 뭔지도 모르겠고 마지막에 곽도원분이 맡으신 역할이 죽읔지 아닌지도 모르겠고  재미는 있는데 ㅋㅋㅋ 영화를 보고나면 짜증이 남 ㅋㅋㅋ  
60,역시 방화는 보는게 아닙니다  그래서비는왜온거죠번개는왜친거죠일본인은왜운거죠왜하필곡성에서일어나야만했죠곡성과귀신의관계는악마랑생선이랑뭔관계가있나요 부제는어떻게동굴을찾아갔죠 걍 무서운요소 다넣어놓고  철학적인척 설명은하나없는 불친절한영화 갑 
61,친절하지 않다 관객을 희롱하는 영화  
62,만들기만 하고 시나리오는 관객이 쓰고 낚시질도 정도껏  개봉이 5시인데 무슨 시사회도 아니고 그전에 봤다는 얘들 왜이리 많은지 알바생들좀 똑똑히 쓰자 지루할거같다 영화  대실망 단체관람 완전 비추 불쾌하고 이해안되고 이상한 영화  
63,영화를 관객의 상상력에 맡기는 것은 좋다 그렇다고해서 왜라는 부분을 전부 배제하면 평이 극명하게 갈라진다 영화는 관객에게 벌어지는 상황들을 설명해야 할 암묵적 의무가 있다 각종 추리를 내놓으며 
64,새가 참 고생하더라  솔직히 정말 실망한 영화 중  가장 짜증난 영화 였습니다 영화 평론가분들 정말 가슴에 손 올려 놓고 말해보세요그렇게 대단한 영화 입니까 내용도 없고 결말도 없고 피 비명 소나기 그것밖에 생각 안나네 
65,정신건강에 좋지 않습니다 ㅠ  내가 저런걸 영화랍시고 제돈주고 시간날리고 했네그냥 보는내내 개빡치는 영화 안본눈 삽니다  처음으로 평점 쓴다 20시 20분 영화보고 11시쯤 나온 것 같은데， 내가 이 영화를 왜 내 돈 내고 보고 있는지 화가 났다 이게 어딜봐서 15세야 보고 나서 이렇게 기분이 더러울 수가 없네 좋아하는 평론가가 
66,끝나자마자 보러가자고 한 친구 멱살 잡았음관객을 호구로 보는 감독에 화가 남  1점도아깝다진짜원래평가안쓰는데 평론가들이좋데서 봤더니 다알바네 돈많이질럿다 돈보다 입소문이다 절대보지마요어우화나  
