,0
31,후반부에 긴장감이 좀 떨어지긴 함 더 넌보다는 재밌게 봄 애나벨 2보단 못함  워렌 보물창고 개방  재밌게 무서워서 더 좋았어요 적당히 스토리있고 ㅋㅋ 놀래키기만하고 스토리없는 영화가 많아서 이정도면 좋다고 생각했고 비교로는 애나벨2가 더 무서워요 영화관에서 사람들 팝콘쏟고 소리질러서 더 재밌었어욬ㅋㅋㅋㅋ  요즘엔 여름이어도 공포영화가 드문데 애나벨이 있어 다행이에요  진짜 꿀잼이에요 꼭 보세여 역시 애나벨 기대이상이였어요  무서워서 반이상은 눈 감고 본 거 같아요 무섭고 재밌어요  깜짝 깜짝 놀라는 맛은 있는데 진부한 스토리   
32,까불지좀 말았으면 가만히좀 있어  등장인물하는 행동이 핵답답해서 공포고 개연성 스토리 똥망의 실화코인타는 급식용공포영화 하지말라면 하지말고 그리 중요하고 위험하면 열쇠보관정돈 철저하게 좀쓸데 없는 등장인물의 등장으로 이도 저도 아닌 연출만 늘고 애나벨2가 너무 강력했음  다닝엘라라는 애 정말 무모하고 짜증나는 스타일현실에서도 저런 애들 젤 싫음설정도 좀 억지스럽고아무리 공포영화라도 조명은 좀 키자다니엘라 정말 싫어  
33,적당한 유머와 감동이 섞인 가족영화농담이 아님살떨리는 공포를 겪긴 힘들지만 공포영화의 기본엔 충실해서 평타는 칩니다제일 놀라는 정도가 새벽에 방 불을 켰는데 바닥이나 벽에 붙어있는 바선생을 발견한 수준이니  안 무섭긴 개뿔 구라 치지말자  표값 만천원 도둑맞은게 더 공포다  공포영화지만 줄거리가 있어서 더 좋았던 것 같아요  이거보고 재밌었다는 애들은 둘중 하나임 기억력 금붕어수준인 급식이거나 공포물 처음 보는 분 전작들이랑 클리셰 99 똑같음 이거보고 무서웠다는 애들은 게임같은거 하지마라 특히 패턴 읽는게임  애나벨은 2가 젤 무서운듯  진짜개 핵노잼 막장 ㅡㅡ 놀래긴 놀라는데 내용 거지같네요 너무 재미없어요 진심  
34,쫄보라서 넘모 무서웟서요 중간에 화장실 가고 싶을까봐 음료도 거의 못 먹고 왓슴다 혼자 화장실 다녀 오는 길에 무서운 장면 나올까봐  공포영화는 이렇게 만들어야지 ㅋㅋ  난 재밌게 봤는데 도대체 올마나 더 무서워야하나 ㅋㅋㅋ 컨져링1이 스케일이 오지긴 했는데 컨져링 1 이후에 그 다음으로 무서운거 같은데 심장쫄리면서 봄  애나벨 시리즈 중에서 역대급이었음  쓰레기그냥 쓰레기영화 이 한마디면 끝  화만나고 드럽게 재미없네  
35,ㅋㅋㅋㅋ말 드럽게 안들어 ㅠ 그래도 잘봤음  저 정말 여기 시리즈 팬인사람인데 정말 더넌 컨저링 다봤고 애나벨 12 다 봤는데 이번 편이 정말 최악이었고 선 많이 넘었습니다 저혈압이신분 추천드립니다 ㄹㅇ 고혈압 걸립니다 정말 열받습니다 ㄹㅇ 보는내내  
36,무서워서 영화를 본건지 안본건지  
37,옆에 친구가 계속 깜짝 놀래가지고 잠을 편히 못잤네요  
38,답답했어요 ㅠㅠ 열지말라니까 계속 열어제끼네요 ㅠㅠ  노잼이다  노잼지루해죽는 줄 돈아까우ㅗ  역쉬 기대를 저버리질 않네요 딸하고 잼나게 봤어요  고구마 100개 먹은 기분이 든 암걸리는 영화였습니다 꼬마 여자애 핵 사이다  시간이 빨리가서 좋았는데그렇게 무섭진 않은 영화 같다 생각합니다아무튼 즐거웠으니 좋았어요  짱재밋어여 공포영화가 이래야징  제임스완이 감독이면 기대한것보다 이상으로 만족했을듯  영화를 끝까지 보게 해주셔서 감사합니다 아멘  재밌게잘봤다 사무라이 갑옷 인상적임  애나벵ㄹ이랑 동전규ㅟ신ㅠㅠㅠ 자꾸 생각나요  귀막고 실눈떠서봤네요 극장에서 공포영화는 너무 무섭네요  공포에 신파를 넣으니 이도저도  쳐키랑 애나벨이랑 싸우면 누가 이길까  하도 놀라서 다보고 나오니까 온몸이 아팠습니다ㅋㅋ  너무 쉴 틈 없이 놀래키는거 아니냐며  오랫만에 심장이 바운스 바운스  제임스 완이 직접 메가폰 잡아라 제발  
39,여자 혼자봤는데도 많이 무섭진않았어요벨보이 밥 살려줘서 진심 감사  무섭다기 보다 시종일관 놀랄까봐 몸이 넘 힘들었음ㅋㅋ하도 놀래서 옆뒤 사람들 큭큭되면서 웃던데ㅠㅜ그냥 가볍게 보고 놀래고 가세요  
40,생각보다 무섭진 않음 워렌부부가 이야기를 이끌어가길 바랬는데 딸만 나옴ㅠ그리고 억지로 이야기를 만들어내는 듯한 느낌이었음 컨저링 시리즈 좋아하는 사람으로서 실망함ㅜ  무서웠지만 재밌게 잘 봤습니다 엔딩이 훈훈해서 좋았고 여주 분들이 이쁘셔서 좋았습니다 남자 조연분도 진짜 잘 생기셔서 눈이득 했네용  남는게 없습니다  무서워서 눈가리고 봐서요 ㅋㅋ 갑툭튀 좋아하시는 분들 보면 좋을 듯 합니다 다만 내용이 그닥   뭔가 막 무서운게 달아오르다가 끊기는 느낌  무섭긴 하지만 다른 작품에 비해선 덜 무섭고 영화끝난후에 엥 뭔가 더 있겠지라며 생각하게되는 편이어서 아쉽다  생각만큼 별로였음뭔가  억지로 애나벨 넣어서 급하게  끝낸느낌이 들었답  애나벨 넘무서워  동전하나둘씩 떨어질때 숨죽이고 봄  안에 찐퉁의 그것을 보셨나요  참나 악플 다는 잉간들 멋지네일본 공포보다 훨씬 낮다 너네 수준은 한국공포영화수준이구먼당신들이 영화 만들어봐라개 웃기네 공동묘지 흉가 체험가면 오줌 쥫쥘 사는주제  걍 공포영화 나름 보거나 좋아하는 사람은 무조건 보세요  개무서웠음 ㅠ ㅜ 누가 안무섭댔니 안무섭대서 혼자보러갔다가 심장이벌렁대서 미치는줄ㅡㅡㅋ  심장 터지는 줄 휴  
